ma_bds,dien_tich_su_dung_m2,gia(ty),title,phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,chieu_dai_m,chieu_rong_m,loai_hinh
22711294,52.0,10.1,"Bán Nhà mặt tiền, phố Nguyễn Văn Trỗi",Sổ đỏ,2025-10-24,Nguyễn Văn Trỗi - Phường Phương Liệt,Thanh Xuân,Hà Nội,3,4,52.0,14.0,4.0,nha
21923606,100.0,30.0,"Bán Nhà mặt tiền, phố Nguyễn Hoàng",Sổ đỏ,2025-10-24,Nguyễn Hoàng - Phường Mỹ Đình 2,Nam Từ Liêm,Hà Nội,7,7,100.0,11.0,9.5,nha
22697539,180.0,11.5,"Bán Nhà hẻm, ngõ Giáp Hải",Sổ đỏ,2025-10-24,Giáp Hải,None,Hà Nội,1,1,120.0,19.7,6.1,nha
22710937,50.0,11.95,"Bán Nhà mặt tiền, phố Tân Mai",Sổ đỏ,2025-10-24,Tân Mai - Phường Tân Mai,Hoàng Mai,Hà Nội,4,6,52.0,10.0,5.0,nha
22415180,102.0,6.2,"Bán Nhà mặt tiền, phố Võ Chí Công",Sổ đỏ,2025-10-24,Võ Chí Công - Phường Xuân La,Tây Hồ,Hà Nội,2,3,102.0,10.0,10.0,nha
22698390,360.0,13.85,Bán Nhà đường nội bộ Đông Dư Thượng,Sổ đỏ,2025-10-24,Đông Dư Thượng,None,Hà Nội,3,5,120.0,15.0,8.0,nha
22398763,70.0,3.7,Bán Chung cư Nguyễn Chánh,Sổ đỏ,2025-10-24,Nguyễn Chánh - Phường Trung Hòa,Cầu Giấy,Hà Nội,1,2,,,,chung_cu
22688360,38.0,6.98,"Bán Nhà mặt tiền, phố Lương Khánh Thiện",Sổ đỏ,2025-10-24,Lương Khánh Thiện - Phường Hoàng Liệt,Hoàng Mai,Hà Nội,3,5,38.0,9.0,4.0,nha
22698520,81.0,14.0,Bán Đất thổ cư Bát Khối,Sổ đỏ,2025-10-24,Bát Khối - Phường Cự Khối,Long Biên,Hà Nội,6,6,81.0,16.0,5.5,dat
22415225,35.0,5.2,"Bán Nhà mặt tiền, phố Hoa Bằng",Sổ đỏ,2025-10-24,Hoa Bằng - Phường Yên Hòa,Cầu Giấy,Hà Nội,5,4,35.0,9.7,3.6,nha
22686575,50.0,9.8,"Bán Nhà mặt tiền, phố Thịnh Liệt",Sổ đỏ,2025-10-24,Thịnh Liệt - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,3,5,49.0,11.0,4.0,nha
